iter	Passed	Remaining
908	5171	517
909	5178	512
910	5183	506
911	5189	500
912	5194	495
913	5200	489
914	5205	483
915	5210	477
916	5215	472
917	5221	466
918	5226	460
919	5232	454
920	5237	449
921	5243	443
922	5248	437
923	5253	432
924	5259	426
925	5264	420
926	5269	414
927	5275	409
928	5280	403
929	5287	397
930	5292	392
931	5298	386
932	5303	380
933	5309	375
934	5315	369
935	5320	363
936	5326	358
937	5332	352
938	5338	346
939	5344	341
940	5350	335
941	5355	329
942	5361	324
943	5367	318
944	5374	312
945	5380	307
946	5385	301
947	5391	295
948	5397	290
949	5408	284
950	5413	278
951	5419	273
952	5425	267
953	5431	261
954	5437	256
955	5444	250
956	5450	244
957	5456	239
958	5462	233
959	5468	227
960	5473	222
961	5479	216
962	5484	210
963	5490	205
964	5496	199
965	5511	194
966	5517	188
967	5523	182
968	5528	176
969	5533	171
970	5539	165
971	5544	159
972	5549	153
973	5554	148
974	5559	142
975	5564	136
976	5570	131
977	5575	125
978	5580	119
979	5586	114
980	5591	108
981	5597	102
982	5603	96
983	5608	91
984	5613	85
985	5618	79
986	5623	74
987	5628	68
988	5633	62
989	5638	56
990	5644	51
991	5649	45
992	5654	39
993	5659	34
994	5664	28
995	5669	22
996	5674	17
997	5679	11
998	5684	5
999	5690	0
